t=2026-05-06T01:57:01+0500 lvl=info msg="no configuration paths supplied"
t=2026-05-06T01:57:01+0500 lvl=info msg="using configuration at default config path" path="/Users/mhammedbekmahan/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-06T01:57:01+0500 lvl=info msg="open config file" path="/Users/mhammedbekmahan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-06T01:57:01+0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-06T01:57:01+0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-06T01:57:02+0500 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-06T01:57:02+0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-06T01:57:02+0500 lvl=info msg="update available" obj=updater
t=2026-05-06T01:57:02+0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://dania-unreadable-destiny.ngrok-free.dev
t=2026-05-06T01:58:25+0500 lvl=info msg="join connections" obj=join id=024ae158c209 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T01:58:26+0500 lvl=info msg="join connections" obj=join id=eaad9c5dcee8 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T01:58:28+0500 lvl=info msg="join connections" obj=join id=15ada8635872 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T01:58:29+0500 lvl=info msg="join connections" obj=join id=90c57b172370 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T01:58:29+0500 lvl=info msg="join connections" obj=join id=d85788119f9b l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T01:58:29+0500 lvl=info msg="join connections" obj=join id=18252f543807 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:00:37+0500 lvl=info msg="join connections" obj=join id=9ba26b438746 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:00:37+0500 lvl=info msg="join connections" obj=join id=cd4c2bb8c1ce l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:00:37+0500 lvl=info msg="join connections" obj=join id=d04bb0439668 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:00:37+0500 lvl=info msg="join connections" obj=join id=2be543d7a509 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:00:38+0500 lvl=info msg="join connections" obj=join id=1aaf42f96850 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:05:46+0500 lvl=info msg="join connections" obj=join id=ecc0030c177a l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:05:47+0500 lvl=info msg="join connections" obj=join id=ed166b36bb6d l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:05:47+0500 lvl=info msg="join connections" obj=join id=608d261f0b77 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:05:47+0500 lvl=info msg="join connections" obj=join id=d06b4971e9b1 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:05:48+0500 lvl=info msg="join connections" obj=join id=e6d2cc8de347 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:06:49+0500 lvl=info msg="join connections" obj=join id=4ffb9fefa726 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:06:49+0500 lvl=info msg="join connections" obj=join id=ea2ca0624ebe l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:06:49+0500 lvl=info msg="join connections" obj=join id=4b2ce597c513 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:06:49+0500 lvl=info msg="join connections" obj=join id=9a65c0ac7a89 l=[::1]:8000 r=109.201.53.179:40778
t=2026-05-06T02:06:50+0500 lvl=info msg="join connections" obj=join id=e90e1d65ee98 l=[::1]:8000 r=109.201.53.179:40778
